judul,link,waktu,isi_berita
Hasil MotoGP Aragon: Marc Marquez Juara Lagi!,https://sport.detik.com/moto-gp/d-8640943/hasil-motogp-aragon-marc-marquez-juara-lagi,"Minggu, 30 Agu 2026 19:44 WIB","Rider Ducati,Marc Marquez, menjadi pemenang main race MotoGP Aragon 2026. Baby Alien memenangi perlombaan sengit dengan Pedro Acosta dan Marco Bezzecchi.

Dalam balapan di sirkuit Aragon, Spanyol, Minggu (30/8/2026) malam WIB, rider Aprilia, Bezzecchi, yang start terdepan. Front row dilengkapi oleh Marc Marquez dan Alex Marquez.

Bezzecchi bisa mempertahankan posisi terdepan, kendati sempat disalip Marc Marquez. Saat race berjalan dua lap, Bezzecchi terdepan disusul Marc Marquez, dan Pedro Acosta.

Race berjalan empat lap, Bezzecchi masih terdepan. Dia berjarak 0,701 detik dariMarc Marquezdi posisi kedua.

Marc Marquez bisa mendahului Bezzecchi pada lap keenam. Tak cuma disalip Marc Marquez, Bezzecchi juga bisa dilewati oleh Pedro Acosta.

Di sisa balapan, Marc Marquez tak terkejar. Dia mampu menjadi rider pertama yang menyentuh garis finis dalam 23 lap dengan catatan waktu 41 menit 10,969 detik.

Melengkapi podium ada pebalap KTM Pedro Acosta dan Bezzecchi. Sementara itu, rider Gresini Racing, Alex Marquez ada di posisi keempat. Posisi lima besar main race MotoGP Aragon dilengkapi oleh Jorge Martin.

Dengan hasil ini,Marc Marquezmencatatkan kemenangan tiga kali beruntun di MotoGP Aragon. Sebelumnya, dia juga menang di Aragon pada edisi 2024 dan 2025.

1. Marc Marquez - 41 menit 10,969 detik2. Pedro Acosta3. Marco Bezzecchi4. Alex Marquez5. Jorge Martin6. Fermin Aldeguer7. Fabio Di Giannantonio8. Enea Bastianini9. Diogo Moreira10. Brad Binder11. Jack Miller12. Joan Mir13. Alex Rins14. Luca Marini15. Johann Zaro16. Pol Espargaro17. Lorenzo Savadori18. Fabio Quartararo"
"Finis Kedua di Sprint Race MotoGP Aragon, Alex Marquez Puas",https://sport.detik.com/moto-gp/d-8640531/finis-kedua-di-sprint-race-motogp-aragon-alex-marquez-puas,"Minggu, 30 Agu 2026 17:15 WIB","RiderGresini Racing,Alex Marquez, finis kedua saat sprint race MotoGP Aragon 2026. Pebalap 30 tahun itu puas.

Saat balapan di Sirkuit Aragon, Sabtu (29/8/2026) malam WIB, Marc Marquez yang menjadi pemenang. Rider Ducati itu menyelesaikan balapan dengan durasi 19 menit 37,995 detik.

Alex Marquez finis 1,140 detik setelah Marc Marquez untuk mengamankan podium kedua. Posisi ketiga diamankan oleh pebalap Aprilia Marco Bezzecchi.

Setelah podium kedua saat sprint race MotoGP Jerman,Alex Marqueztak bisa mencapai podium sampai sprint race Aragon. Oleh karena itu, pantas kalau pebalap yang didukung oleh Bold Riders itu puas.

""Saya senang dengan podium ini. Semua orang memperkirakan duel antara Marc dan Marco, dan pada akhirnya kami berhasil ikut meramaikan pertarungan tersebut. Ini sangat mencerminkan gaya saya: tetap berada di balik layar sebelum mencoba mencuri perhatian,"" kata Alex Marquez seperti dikabarkan situs Gresini.

""Kami berhasil melakukannya hari ini, tetapi besok ceritanya akan sama sekali berbeda. Saya yakin Bezzecchi memiliki keunggulan lebih untuk jarak balapan penuh, begitu juga Marc. Kami masih sangat kesulitan di Sektor 3, meski situasi sedikit membaik saat balapan hari ini.""

""Kami akan mencoba sesuatu pada sesi pemanasan dan melihat apakah kami bisa ikut memperebutkan kemenangan besok,"" kataAlex Marquezmenambahkan."
"Moto3 Aragon 2026: Maximo Quiles Menang, Veda Ega Posisi Berapa?",https://sport.detik.com/moto-gp/d-8640747/moto3-aragon-2026-maximo-quiles-menang-veda-ega-posisi-berapa,"Minggu, 30 Agu 2026 16:35 WIB","Maximo Quilesjadi pemenangMoto3 Aragon 2026, finis di depanDavid Almansadan Marco Morelli.Veda Ega Pratamasempat menjanjikan tapi lantas merosot.

Veda Ega memulai balapan Moto3 Aragon, Miggu (30/8/2026) sore WIB, dari posisi 22. Ia langsung naik ke posisi 19 selepas start.

David Almansa memimpin di putaran pertama dan diikuti Maximo Quiles dan Marco Morelli. Tiga pebalap ini berada di grup terdepan.

Veda terus memperbaiki posisi dan sudah berada di peringkat ke-17 pada lap ketiga. Sementara Morelli terlempar ke posisi lima di belakang Alvaro Carpe dan Brian Uriarte. Tapi Uriarte lantas kenapa penalti long lap dan merosot ke posisi 10.

Jatuhnya Jesus Rios menjadi keuntungan buat Veda. Ia menutup putaran keenam di posisi 15. Almansa belum tersentuh sebagai pemimpin balapan.

Veda sempat melorot dua posisi, tapi merebut urutan 16 saat memasuki putaran ke-10. Quiles berhasil menyalip Almansa untuk mengambil alih posisi terdepan.

Sayangnya Veda kembali turun posisi dan pada lima putaran terakhir sudah terlempar ke nomor 20. Ia lantas kembali ke posisi start 22 di putaran berikutnya.

Almansa gas pol di tiga putaran terakhir untuk memangkas jarak dengan Quiles yang sempat menyentuh 0,9 detik. Meski sempat amat dekat, ia tak punya kesempatan untuk menyalip.

Quiles finis pertama, diikuti Almansa dan Morelli yang melengkapi tiga besar. Adapun Veda menuntaskan balapan di posisi 20."
Tebakannya Jitu! Ini 3 Pemenang yang Berhasil Kenali Motor Legendaris,https://sport.detik.com/moto-gp/d-8640696/tebakannya-jitu-ini-3-pemenang-yang-berhasil-kenali-motor-legendaris,"Minggu, 30 Agu 2026 15:55 WIB","Kalau Sal Priadi punya lagu Foto Kita Blur, kali ini bukan cuma foto yang dibuat blur. Dalam kuis Bold Riders bersama detikcom, para detikers justru ditantang menebak motor yang diblur sekaligus rider legendaris yang pernah mengendarainya.

Kuis Tebak Jenis Motor dan Rider Legendarisnya berlangsung pada 26-28 Agustus 2026. Para penggemar MotoGP dan otomotif pun diajak menguji ingatan mereka untuk mengenali motor dan sosok rider yang pernah menggunakannya di lintasan.

Jawaban yang masuk pun cukup beragam. Ada detikers yang langsung yakin dengan tebakannya, sementara yang lain mungkin harus mengingat kembali motor dan rider yang pernah mereka lihat berlaga di lintasan.

Setelah seluruh jawaban diperiksa sesuai ketentuan, akhirnya terpilih tiga detikers yang berhasil memberikan jawaban dengan tepat.

Berikut nama-nama pemenangnya:

@callmeverdi

@rizaldi773_

@ralkausarr

Masing-masing pemenang mendapatkan saldo e-wallet senilai Rp 250 ribu.

[Gambas:Instagram]

Selamat kepada para pemenang! Tim detikcom akan menghubungi masing-masing pemenang untuk proses verifikasi data dan informasi lebih lanjut mengenai hadiah.

Buat yang belum berhasil, jangan berkecil hati. Masih ada kuis dan aktivitas seru lainnya dari Bold Riders yang bisa kamu ikuti.

Jangan lupa follow Instagram @boldriders untuk mendapatkan update seputar MotoGP, konten otomotif, dan informasi event motor lainnya."
"Antusiasme Warga Tak Surut, CFD Bekasi Dipadati Pesepeda hingga Pelari",https://sport.detik.com/fotosport/d-8640444/antusiasme-warga-tak-surut-cfd-bekasi-dipadati-pesepeda-hingga-pelari,"Minggu, 30 Agu 2026 12:30 WIB","Bekasi- Antusiasme warga berolahraga tetap tinggi di CFD Jalan Ahmad Yani, Kota Bekasi. Pesepeda hingga pelari memenuhi ruas jalan sejak pagi."
"Marc Marquez Kuasai Daftar Juara Sprint Race MotoGP, Sudah 20 Kemenangan!",https://sport.detik.com/moto-gp/d-8640390/marc-marquez-kuasai-daftar-juara-sprint-race-motogp-sudah-20-kemenangan,"Minggu, 30 Agu 2026 11:45 WIB","Marc Marquez menegaskan dominasinya di ajang Sprint MotoGP. Kemenangan pada Sprint MotoGP Aragon 2026 membuat rider Ducati itu menjadi pembalap pertama yang tembus 20 kemenangan Sprint Race sejak format tersebut diperkenalkan pada 2023.

Marc sebelumnya berbagi posisi teratas dengan Jorge Martin yang sama-sama mengoleksi 19 kemenangan Sprint. Tapi kemenangan di MotorLand Aragon, Sabtu (29/8/2026), membuat Marc kini sendirian bertengger di puncak.

Pada Sprint Race MotoGP Aragon 2026, Marc Marquez tampil dominan. Ia merebut posisi terdepan sejak awal dan finis di depan sang adik, Alex Marquez. Marco Bezzecchi yang start dari pole position harus puas di posisi ketiga.

Jorge Martin, yang sebelumnya memenangi Sprint di Silverstone, hanya finis kelima. Ia berada di belakang Pedro Acosta dan Fermin Aldeguer.

Balapan Sprint MotoGP mulai digelar pada 2023. Sejak saat itu, ada 11 pembalap yang sudah pernah memenangi balapan Sprint.

Tiga nama paling dominan adalah Marc Marquez, Jorge Martin, dan Francesco Bagnaia. Ketiganya juga merupakan juara dunia MotoGP dalam tiga musim terakhir sebelum 2026: Bagnaia pada 2023, Martin pada 2024, dan Marc pada 2025.

Bagnaia kini berada di posisi ketiga daftar rider dengan jumlah kemenangan sprint race paling banyak dengan 14 kemenangan. Alex Marquez menyusul di urutan keempat dengan enam kemenangan, sedangkan Marco Bezzecchi melengkapi lima besar dengan empat kemenangan."
"Jadwal MotoGP Aragon 2026: Race Utama Minggu Malam, Sore Ada Moto3!",https://sport.detik.com/moto-gp/d-8640220/jadwal-motogp-aragon-2026-race-utama-minggu-malam-sore-ada-moto3,"Minggu, 30 Agu 2026 09:45 WIB","Simak di sini jadwal MotoGP Aragon 2026 untuk hari Minggu (30/8/2026), termasuk waktu race Moto3 yang melibatkan Veda Ega Pratama.

Rangkaian agenda MotoGP Aragon menyisakan momen-momen klimaks yang akan digelar pada hari ini. Sebelumnya, Motorland Aragon sudah menghadirkan sesi-sesi mulai dari latihan, kualifikasi, hingga sprint race.

Hasil kualifikasi MotoGP Aragon 2026 menempatkan Alex Marquez di posisi ketiga, dengan Marc Marquez menempati posisi kedua. Marco Bezzecchi meraih pole.

Dalam sprint race, ketiganya menjadi rider-rider tercepat meski dengan susunan yang berbeda. Marco Bezzecchi finis ketiga, di belakang Alex Marquez yang finis kedua. Sedangkan Marc Marquez menjadi pemenang sprint race MotoGP Aragon.

Sedangkan di Moto3, Veda Ega harus puas start dari posisi ke-22. Rider Indonesia itu akan berpacu meraih hasil terbaik dalam balapan pada hari Minggu (30/8) sore WIB."
"Ikut Charity Fun Run Ini Bisa Dapat Jersey, Medali, Kesempatan Umroh Gratis",https://sport.detik.com/sportstyle/d-8640227/ikut-charity-fun-run-ini-bisa-dapat-jersey-medali-kesempatan-umroh-gratis,"Minggu, 30 Agu 2026 09:21 WIB","Mau olahraga akhir pekan tapi bosan cuma keringetan tanpa dampak apa-apa? Shiratha Launching & Charity Fun Run for Buya Hamka bisa jadi jawabannya. Setiap langkah larimu di acara ini bukan cuma bikin badan sehat, tapi juga ikut mendanai pelestarian situs bersejarah seorang ulama besar Indonesia.

Charity fun run Jakarta 2026 ini digelar pada hariMinggu, tanggal13, bulanSeptember, tahun2026, mulai pukul05.30 WIB hingga 10.30 WIB, berlokasi diParkir Selatan GBK, depan Lapangan Softball, Jakarta Pusat. Rutenya ramah untuk pelari pemula maupun yang sudah terbiasa ikut event lari akhir pekan.

Konsep acara ini sederhana namun berdampak besar. Seluruh hasil penjualan tiket dialokasikan langsung untuk program Restorasi Kampung Buya Hamka, sebuah upaya menjaga warisan sejarah agar tidak hilang ditelan zaman. Jadi larimu bukan cuma buat diri sendiri, tapi juga buat generasi berikutnya yang ingin belajar dari jejak sang ulama.

Peserta juga dimanjakan dengan fasilitas lengkap, jersey eksklusif Shiratha, medali finisher, refreshment, hingga kesempatan memenangkan Grand Prize Umroh Gratis lewat aplikasi Shiratha. Kombinasi sehat, berbagi, dan hadiah besar ini jarang ditemukan di event lari pada umumnya.

Kuota peserta charity fun run Jakarta 2026 ini terbatas dan pendaftaran akan ditutup pada 31 Agustus 2026 pukul 23.30 WIB.

Lokasi start di GBK tergolong strategis dan mudah dijangkau lewat transportasi umum maupun kendaraan pribadi, cocok buat kamu yang ingin memulai akhir pekan dengan kegiatan positif.

Event ini terbuka untuk pelari solo, pasangan, maupun rombongan komunitas. Semakin banyak yang ikut, semakin besar dampak donasi untuk Restorasi Kampung Buya Hamka.

Yuk amankan slotmu sekarang didetikeventsebelum pendaftaran ditutup."
Bezzecchi Kalah Bukan karena Pilihan Ban,https://sport.detik.com/moto-gp/d-8640131/bezzecchi-kalah-bukan-karena-pilihan-ban,"Minggu, 30 Agu 2026 07:50 WIB","Jadi pole sitter,Marco Bezzecchigagal bersaing denganMarc Marquez. Bezzecchi tak yakin hasilnya lebih baik jika memilih ban yang sama dengan Marquez.

Padasprint race MotoGP Aragon 2026, Bezzecchi start di depan Alex Marquez dan Marc Marquez. Rider Aprilia itu memilih memakai ban belakang lunak, sedangkan Marquez bersaudara dan sebagian besar pebalap yang start di tiga baris terdepan memilin memakai ban medium.

Hasilnya, Bezzecchi langsung disalip Marc Marquez di tikungan 1 setelah start. Bezzecchi bahkan melorot ke peringkat tiga setelah disusul Alex Marquez. Situasi ini bertahan sampai lomba berakhir, Bezzecchi melintasi garis finis dengan selisih dua detik dari Marc Marquez.

Marco Bezzecchimenilai, dirinya belum tentu bisa menyaingi Marc Marquez seandainya memilih ban belakang lunak. Bezzecchi tinggal memperbaiki performanya di grand prix MotoGP Aragon 2026., malam ini (30/8).

""Sekarang jadi lebih mudah mengatakan bahwa ban [belakang] medium lebih baik,"" sebut pebalap motor Italia itu dilansirCrash.

""Namun, terus terang saja ide ini benar-benar tidak pernah terlintas di dalam pikiranku karena aku merasa nyaman dengan ban lunak, jadi aku bekerja dengan baik sepanjang hari dengan ban lunak, jadi tadi aku cukup yakin.""

""Aku tidak yakin bahwa dengan ban medium aku bisa menjalani balapan lebih baik. Terus terang, aku lebih yakin bahwa aku justru bisa saja lebih buruk. Jadi buatku, untuk diriku sendiri, tadi itu pilihan yang bagus,"" lugasMarco Bezzecchi."
Kejurnas MotoPrix 2026 Asah Talenta Pebalap Nasional,https://sport.detik.com/sport-lain/d-8640053/kejurnas-motoprix-2026-asah-talenta-pebalap-nasional,"Minggu, 30 Agu 2026 04:55 WIB","Talenta tanpa usaha merupakan kesia-siaan. Untuk itulahKejuaraan Nasional (Kejurnas MotoPrix) 2026ada demi mengasah kemampuan para pebalap nasional.

Kejurnas yang bertajuk Pertamax Turbo MotoPrix itu dilangsungkan di Sirkuti Gery Mang, Subang, Jawa Barat, 29-30 Agustus. Ajang ini digelar tidak cuma untuk menggairahkan olahraga otomotif Indonesia, tapi juga panggung persiapan para pebalap terbaik sebelum terjun di level berikutnya.

Sebagaimana balapan motor pada umumnya, inovasi serta performa tinggi selalu jadi tuntutan untuk setiap pebalap. Maka dari itu setiap pebalap harus bisa mencari teknologi sebaik mungkin demi meningkatkan performa motor.

Di Kejurnas MotoPrix 2026 ini, para pebalap berupaya mencari settingan motor sebaik mungkin demi mencapai target yang dicapai. Itulah mengapa Pertamax Turbo menjadi sponsor utama karena komitmen Pertamina Patra Niaga dalam menyediakan bahan terbaik kelas satu.

""Kami melihat MotoPrix sebagai ajang penting dalam mencetak dan mengembangkan pembalap-pembalap nasional berprestasi. Melalui Pertamax Turbo, kami ingin terus hadir mendukung para pembalap dan seluruh ekosistem otomotif untuk mencapai performa terbaik di lintasan,"" ujar VP Corporate Communication Pertamina Patra Niaga, Kitty Andhora, dalam rilis kepadadetikSport.

Menurut Kitty, olahraga balap motor memiliki karakteristik yang erat dengan inovasi, performa, dan teknologi, nilai-nilai yang juga menjadi karakteristik Pertamax Turbo sebagai BBM beroktan tinggi yang dirancang untuk mendukung kendaraan dengan teknologi mesin modern.

Selain menjadi official fuel partner, kehadiran Pertamax Turbo dalam MotoPrix 2026 juga memperkuat posisi produk sebagai bagian dari ekosistem otomotif nasional, khususnya pada kegiatan yang menuntut performa kendaraan secara optimal.

""Pertamax Turbo menjadi official fuel partner dalam Kejurnas MotoPrix 2026. Kehadiran kami dalam ajang ini merupakan wujud komitmen Pertamina Patra Niaga untuk mendukung perkembangan olahraga otomotif nasional melalui penyediaan BBM berkualitas yang sesuai dengan kebutuhan kendaraan berperforma tinggi."""
Strategi Berisiko yang Menangkan Marc Marquez,https://sport.detik.com/moto-gp/d-8640055/strategi-berisiko-yang-menangkan-marc-marquez,"Minggu, 30 Agu 2026 04:35 WIB","Marc Marquezmengakui, overtaking kepadaMarco Bezzecchimemang berisiko. Namun, Marquez berkukuh bahwa itu satu-satunya cara mengalahkan sang rival.

Pebalap Ducati itu tampil dominan sebelum memenangi sprint raceMotoGP Aragon 2026. Berlomba di MotorLand Aragon pada Sabtu (29/8) malam WIB, Bezzecchi jadi pole sitter di depan Marquez bersaudara.

Marc Marquez, yang start dari grid kedua, langsung menyalip Bezzecchi di tikungan pertama. Alex Marquez menyodok di belakang kakak kandungnya itu, Bezzecchi jadi melorot di posisi ketiga.

Pebalap Ducati itu berhasil mempertahankan posisinya di sisa balapan, sekaligus meraih kemenangan sprint race ke-20 di dalam kariernya.Marc Marquezmenyudahi balapan pendek dengan selisih 1,1 detik dari Alex dan 2 detik dariMarco Bezzecchi.

Usai balapan, Marquez mengungkapkan menyerang Bezzecchi memang jadi rencananya sejak awal. Meskipun itu manuver berisiko.

""Ketika aku melihat Marco memulai balapan dengan ban lunak, itu adalah satu-satunya kesempatanku, menyerang di tikungan pertama,"" ucap dia di Crash. ""Itulah yang kulakukan, itu adalah rencanaku, sekalipun seandainya startku enggak terlalu bagus.""

""Tapi memang jadi rencanaku untuk menyerang di sana di tikungan pertama. Aku tahu itu adalah tikungan di mana aku merasa kuat, dan kemudian ketika Anda memimpin balapan, Anda bisa mengendalikan [kecepatan] lebih baik.""

""Saat Anda cuma punya satu pebalap di depan, mudah untuk menyerang dengan cara seperti itu. Ketika si pebalap di depan mengerem, Anda mengerem sedikit terlambat. Dan jika Anda melakukan kesalahan, ada area run-off. Jadi, yeah, memang itu adalah manuver yang berisiko, tapi ini bagian dari balapan,""Marc Marquezmenambahkan."
"PABKI Catatkan Rekor MURI, Tancapkan 600 Pisau!",https://sport.detik.com/sportstyle/d-8640052/pabki-catatkan-rekor-muri-tancapkan-600-pisau,"Minggu, 30 Agu 2026 03:55 WIB","Persatuan Olahraga Akurasi Bilah dan Kapak Indonesia (PABKI) baru saja masuk buku Museum Rekor Indonesia (MURI), yakni 600 bilah pisau tertancap bersamaan.

Bagi Anda yang belum tahu PABKI, organisasi ini membawahi olahraga lempar pisau dan kapak yang masuk dalam daftar olahraga rekreasi Indonesia. Organisasi ini didirikan pada 2021 di Mako Brimob, Kelapa Dua, Depok, Jawa Barat.

Viktor Alexander Lateka yang merupakan perwira tinggi Polri berpangkat Brigadir Jenderal ditunjuk jadi ketua umum periode 2026-2030. Sebagai organisasi olahraga, PABKI tentu punya sejumlah agenda turin setiap tahunnya.

Salah satunya adalah Kejurnas Lempar Pisau dan Kapak yang diikuti ratusan atlet dari berbagai daerah di Kiara Artha Park, Bandung, 29-30 Agustus. Saat upacara pembukaan, panitia melakukan pemecahan rekor berupa penancapan 600 pisau di papan.

Pemecahan rekor melibatkan lebih dari 300 pelempar dari 15 kontingen provinsi di Indonesia. Setiap peserta menggunakan satu set perlengkapan standar kompetisi yang terdiri atas empat bilah pisau lempar.

Ketua Harian PABKI Hendri Jay Agustian mengatakan aksi tersebut menjadi pencapaian penting bagi perkembangan olahraga lempar pisau dan kapak di Indonesia. Bahkan, dia menyebut kegiatan tersebut merupakan yang pertama kali dilakukan dalam skala tersebut di dunia.

""Kegiatan MURI yang kami laksanakan ini bisa dikatakan pertama kali di dunia, bukan hanya di Indonesia. Kami memaksimalkan 600 lemparan menancap di target putih. Ini menjadi bukti simbolis betapa masifnya perkembangan olahraga ini di tanah air,"" kata Hendri dalam keterangan kepadadetikSport.

Dalam proses penilaian rekor, PABKI bersama tim MURI menerapkan pengawasan ketat untuk memastikan setiap lemparan yang sah tercatat. Setiap pisau yang berhasil menancap di papan sasaran dihitung sebagai satu poin.

Bahkan, pisau yang sempat menancap kemudian terjatuh akibat tertimpa lemparan berikutnya tetap dinyatakan sah. Penghitungan tersebut dilakukan berdasarkan pengawasan asisten juri yang ditempatkan di sisi kiri dan kanan papan sasaran.

Usai pemecahan rekor, kegiatan dilanjutkan dengan Kejurnas Lempar Pisau dan Kapak yang berlangsung selama dua hari. Sebanyak 12 kelas dipertandingkan untuk memperebutkan total 72 gelar juara.

Kejurnas tersebut menggunakan sistem open tournament. Sekitar 85 hingga 90 persen peserta merupakan anggota resmi PABKI, sedangkan sisanya berasal dari pelempar umum nonanggota.

Hendri mengatakan komunitas olahraga lempar pisau dan kapak telah aktif menggelar berbagai kejuaraan sejak 2010. Namun, Kejurnas kali ini menjadi momentum penerapan tata kelola kompetisi yang lebih profesional, termasuk penyelenggaraan siaran langsung secara daring.

Siaran langsung tersebut turut dipantau sekitar 50 hingga 100 pelempar profesional dari berbagai negara. PABKI juga memanfaatkan momentum tersebut sebagai tahap awal penjaringan atlet internasional menjelang Piala Dunia Lempar Pisau yang direncanakan digelar di Indonesia akhir 2027.

Di sisi lain, PABKI tengah menyelesaikan finalisasi administrasi untuk bergabung secara resmi di bawah naungan Komite Olahraga Nasional Indonesia (KONI).

Hendri menyebut seluruh kelengkapan tata kelola dan persyaratan organisasi telah dipenuhi. Kejurnas kali ini menjadi salah satu momentum penting dalam proses tersebut.

Ke depannya, PABKI menargetkan jumlah partisipasi atlet meningkat hingga tiga kali lipat. Target itu diharapkan dapat memperkuat posisi Indonesia sebagai salah satu negara dengan kekuatan utama dalam olahraga lempar pisau di tingkat internasional."
Obor Menyala! Indonesia Siap Berlaga di Asian Games 2026,https://sport.detik.com/fotosport/d-8639993/obor-menyala-indonesia-siap-berlaga-di-asian-games-2026,"Sabtu, 29 Agu 2026 22:42 WIB",Jakarta- Sebanyak 432 atlet membela Indonesia di Asian Games Aichi-Nagoya 2026. NOC mengadakan Tim Indonesia Day untuk membakar semangat kontingen sebelum bertanding.
Bilal Hasan Ucap Syukur Usai Menangi Debut UFC: Alhamdulillah,https://sport.detik.com/sport-lain/d-8639883/bilal-hasan-ucap-syukur-usai-menangi-debut-ufc-alhamdulillah,"Sabtu, 29 Agu 2026 22:30 WIB","Bilal Hasanbisa memenangi debut duelnya diUFC. Fighter berdarah Indonesia itu langsung mengucap Alhamdulillah.

Bilal mentas di UFC usai memenangi Dana White's Contender Series. Ia kemudian tampil melawan Nilson Rojas di UFC Fight Night 286 atau UFC Shanghai.

Bertarung di Shanghai Aquatic Sports Center, Sabtu (29/8/2026), Bilal menang KO di ronde kedua. Pukulan kerasnya bikin Rojas terhuyung dan dihujani pukulan, memaksa wasit menghentikan duel.

Usai duel itu, Bilal mengaku senang. Meski kesulitan, ia yakin kemenangan ini jadi hasil atas kesabaran dan dukungan dari orang-orang di sekitar.

Bilal Hasan, yang juga mengidolai Michael Jackson, tak lupa memberi salam bagi idolanya. Kebetulan, hari pertarungan perdananya diUFCbertepatan dengan ulang tahun mendiang Raja Pop tersebut.

""Halo, China! Saya cinta kamu, Shanghai! Selamat ulang tahun, Michael Jackson!' katanya di Oktagon.

""Ya, ini lebih sulit daripada yang saya kira. Saya tahu dia akan menyulitkan. Dia tidak pernah kalah sebelumnya. Kita berdua memiliki rekor yang sama.""

""Tapi saya percaya pada kemampuan saya dan saya percaya pada tim saya. Hormat kepada Charles Pearson, Ryan Diaz, dan juga ayah saya di tempat saya. Ini bukan soal di mana Anda berada, tapi bersama siapa,"" katanya.

""Saya percaya dengan orang-orang di sekitar saya. Saya percaya dengan tujuan Tuhan. Saya benar-benar merasakan. ini adalah tujuan dalam hidup saya. Alhamdulillah. Saya percaya dengan prosesnya dan paling penting, saya menikmatinya,"" katanya.

Hasil ini bikin Bilal menyamai rekor Jeka Saragih, fighter Indonesia yang juga menang pada debutnya di UFC. Jeka menang pada 2023.

Saat itu, Jeka tampil pada preliminary card duel UFC Fight Night di Las Vegas. Jeka melawan Lucas Alexander, dan juga menang KO di ronder pertama."
Klasemen MotoGP 2026 Usai Marc Marquez Juara Sprint Race Aragon,https://sport.detik.com/moto-gp/d-8639920/klasemen-motogp-2026-usai-marc-marquez-juara-sprint-race-aragon,"Sabtu, 29 Agu 2026 20:56 WIB","Marc MarquezmemenangiSprint Race MotoGP Aragon 2026. The Baby Alien naik ke posisi tiga, berikut updateklasemen MotoGPsementara.

Marquez melesat di Sprint Race yang berlangsung di Motorland Aragon, Sabtu (29/8). Rider Ducati Lenovo Team itu tak terbendung sejak awal.

Start dari posisi dua, Marquez langsung merebut peringkat pertama race sejak tikungan pertama. Setelahnya, rider Spanyol itu tak terkejar Alex Marquez dan Marco Bezzecchi.

Kemenangan ini bikin Marquez sementara mengemas 212 poin, menyalip Ai Ogura (203). Juara dunia tujuh kali itu masih di bawah Jorge Martin (245) dan Bezzecchi (216).

Artinya,Marc Marquezberpeluang menggeser Bezzecchi dari posisiklasemen MotoGPandai memenangi race pada Minggu (30/8).

Di bawahnya, Fabio Di Giannantonio masih tertahan di peringkat lima dengan 199 poin, usai gagal menyelesaikan sesi sprint. Kenudian disusul Raul Fernadnez di peringkat 6 dengan 186, Pedro Acosta (169), Francesco Bagnaia ( 143), Alex Marquez (115) dan Luca Marini (86).

Berikut Update Poin di Klasemen MotoGP 2026 Usai Sprint Race Aragon

Jorge Martin 245

Marco Bezzecchi 216

Marc Marquez 212

Ai Ogura 203

Fabio Di Giannantonio 199

Raul Fernandez 186

Pedro Acosta 169

Francesco Bagnaia 143

Alex Marquez 115

Luca Marini 86

Aldeguer 80

Bastianini 76

Binder 72

Moreira 57

Quartararo 55

Johann Zarco 35

Joan Mir 29

Jack Miller 23

Toprak Razgatlioglu 14

Maverick Vinales 10

Iker Lecuona 9

Augusto Fernandez 6

Pol Esparagaro 3

Cal Crutchlow 0

Jonas Folger 0

Michele Pirro 0

Lorenzo Savadori 0"
"Hasil Sprint Race MotoGP Aragon 2026: Ngacir, Marc Marquez Juaranya!",https://sport.detik.com/moto-gp/d-8639880/hasil-sprint-race-motogp-aragon-2026-ngacir-marc-marquez-juaranya,"Sabtu, 29 Agu 2026 20:28 WIB","Marc Marquezkeluar jadi pemenangSprint Race MotoGP Aragon 2026.Rider Ducati itu ngacir sejak start dan tak terbendung hingga finis.

Di Sirkuit Aragon, Sabtu (28/8/2026), Bezzecchi memulai start dari baris terdepan, menyusul sukses merebut pole di kualifikasi. Rider Aprilia itu langsung mendapat perlawanan sengit dari Marquez bersaudara, Marc dan Alex, yang berada di belakangnya.

Di tikungan pertama, Marc Marquez langsung menyalip Bezzecchi. Kemudian Alex juga merangsek ke posisi dua, menggeser rider Italia melorot ke posisi tiga.

Pada lap pertama, ada juga rider yang terjatuh. Luca Marini crash di Turn 7, dan harus menghentikan sesi.

Usai memimpin, Marc Marquez langsung melesat di depan. Ia langsung unggul beberapa detik dari Alex, dan meninggalkan Bezzecchi.

Di bawahnya, persaingan lebih seru. Pedro Acosta bisa melesat ke posisi empat, mengungguli persaingan dengan Raul Fernandez, Diogo Moreira, dan Jorge Martin.

Hingga interval sesi, Marquez bersaudara cukup nyaman di depan. Sementara Fabio Quartararo harus menyudahi aksinya pada lap ke-6, usai motor Yamaha-nya ngebul.

Hingga 11 lap tuntas, Marc Marquez akhirnya tak terkejar dan tetap finis pertama. Disusul Alex Marquez, dan Bezzecchi finis ketiga.

Acosta finis kempat, disusul Jorge Martin dan Fermin Aldeguer.

Hasil Sprint Race

Marc Marquez

Alex Marquez

Marco Bezzecchi

Pedro Acosta

Jorge Martin

Fermin Aldeguer

Diogo Moreira

Raul Fernandez

Johann Zarco

Jack Miller

Francesco Bagnaia

Alex Rins

Toptak Razgatlioglu

Enea Bastianini

Brad Binder

Joan Mir

Pol Espargaro

Franco Morbidelli

Lorenzo Savadori

Out

Fabio Quartararo

Fabio Diggia

Luca Marini"
