,kategori_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
0,sport,-0.0717795972968742,-0.06419856847015953,-0.08023781492803175,0.11603952613382817,-0.03197127683144076,0.29502732358661293,0.06342387317509242,0.16578609811109923,0.1821334977146391,-0.1514193159622435,-0.1822822713155968,-0.07063724522858753,0.051160421506473666,0.6351648671643224,0.15740908248110588,0.11514012740706717,0.11415616506342727,0.03234177085817972,-0.002758438794987699,0.011284759891588806,-0.1315879303626159,-0.055239374532728806,-0.000521532239250593,0.04906395542971176,0.03444934310736809,-0.00014047442315147647,-0.010511134624974822,0.024208781434611526,0.00512983193020715,-0.0030750185341534538,0.007872271022010402,-0.011718204146472433,0.022293456730959307,-0.012578880256066778,0.001831406845710565,-0.03523632439980102,0.032021284161233385,-0.013337334470684956,-0.003993380713163414,-0.013609412239597087,0.0063485748419178116,0.044665355384783736,-0.011556328618198887,0.019076590024402623,0.003905124293011976,0.018638584868611762,0.007678620913307374,-0.012585988899724758,0.0005567284079469268,-0.022864716264708214,0.005634566233555332,-0.03325143526429963,-0.04610724713471825,-0.007012645831947872,-0.01520130898673763,0.012023673614296522,-0.015123581921657641,0.0002308594168953222,-0.010140470137475764,0.001492979561173171,-0.00043036801321349555,-0.004099281666472186,0.01935131993166611,-0.006200637754551144,-0.005632586278512622,0.013824404176630951,-0.002688449159287877,-0.0030165707150590893,0.004010479514233557,-0.01333756289303828,-0.006703351763241584,0.010279491509610673,-0.010814696041957573,-0.0004494309997011167,-0.016459802634702377,-0.028015232753196836,-0.01678214030753396,-0.000967715907446106,0.002130605179477647,-0.011033880763494867,-0.014451721989178497,0.00930393370283564,-0.0019864428563689646,-0.014439237712871632,0.015481192076742152,-0.006881732716608267,0.008744314904837671,0.01372923298560588,0.007235106279089886,0.015726485803435292,0.01085284127031368,0.007049649155813231,-0.02216901033817683,-0.0025903231580829745,0.004471332984429429,0.006670891791964092,0.007956608219178148,0.014395634118906465,-0.028862885147630073,0.014913204208688802
1,sport,-0.07886755054496651,0.0007014778266920986,-0.024529933638990056,0.0897445906694541,-0.05495918032883988,0.2619466873333548,0.02976065786636096,0.155310121081077,0.16974688824635492,-0.15879127720510355,-0.2142517429052191,-0.07197989494738506,0.06610187501889356,0.7024194255138329,0.16294817564370287,0.09772924020228191,0.11673170567484926,0.04637832303921571,-0.01929276704338445,0.014709959044358966,-0.11769583518021072,-0.06578263282373871,0.02236543345898384,0.014798729185751244,0.06454815723336922,-0.0034552257224192253,0.0015859010654057902,0.040060739242935704,0.009010983824751732,-0.00958939192375545,0.0412724412577438,0.005266088014224554,0.022718300576509916,-0.03498724750241377,0.026812478752197624,-0.001518526087414169,0.0035614362483238873,-0.029641301905672598,0.009058428659182645,-0.023042293176514905,0.0031915839601079675,0.014845300508865664,0.004963915239818597,0.012160190846967546,-0.03238991459252492,-0.014127973133814302,0.009697484159590024,0.007411987823465278,0.018015321287973615,0.03022620752193034,-0.007148194780710607,-0.02829243614185746,0.008554683319783275,-0.03580921473831855,-0.016323647928046175,0.010080028623916036,0.015894609074127604,0.039727894015640114,-0.01105431353880138,-0.0010314957060362077,0.01775407709540839,-0.007668981255198607,0.003440751058898611,-0.0175349379921056,-0.02026636406376639,-0.04136958276845646,-0.02522148647262911,0.01967866555162987,-0.03123619107041552,-0.006891059146623875,0.0071467391993723164,-0.011743187650708156,0.023139698655257317,-0.018180125384078705,0.023120254434091034,-0.0005859514364277095,-0.012914947277195785,-0.0058922601892024825,-0.00664731421106434,0.0008263109932329818,-0.005487449783094955,0.0032961172134428783,-0.006650139140131461,8.902527700788292e-05,-0.0019734223914634717,-0.006434334580077642,0.03405974482152249,-0.006489184128331904,0.024379696123891625,-0.025228290230213515,-0.02207780639481157,-0.012897451851829785,0.018606853008721478,-0.0022744437766187603,-0.003746510446354668,0.005806645338115602,0.013711765651037808,0.014098080301891542,0.0020801114792754886,-0.014348790307403964
2,sport,-0.0708811390154304,0.05597114294367249,-0.08999014469165056,-0.010246119608283259,-0.022040662642369382,-0.00966507303645975,0.004083892698554045,-0.014058836665846832,-0.0428796970494956,-0.0038703189586678905,0.0550881821469838,-0.058935407270587235,-0.039737365104686846,0.013861250410942457,-0.021154591083567542,-0.059522367957388224,-0.08673582256859304,0.06425253079986651,-0.04092599787972418,0.007597014691164031,0.026019530583821605,0.05523633352712922,-0.13496803415252598,-0.0020071456311208644,-0.19874742271796064,-0.0010636718122812366,0.016784376514060634,0.40392420602000734,0.12308462292755423,0.03943776700520422,-0.18679045555322815,-0.08450570717882502,-0.05000088953399774,-0.10249032839855639,0.07463967217145122,-0.19530107909283465,-0.012548327559007734,-0.006744951521095051,-0.046482031056214616,0.01810867689303518,-0.1068333421978494,-0.19133139295291382,0.027535501092022116,0.06665034140562241,0.05957660487691379,0.019635896173603114,-0.10085128630126107,-0.03157650499430294,-0.07493939821114669,0.06452246072321831,-0.08813588517716371,-0.02576069534930271,0.04374898715934345,-0.10506989511404037,0.07241806339926085,0.0031997453903257426,-0.0013208776922196978,0.01459073638887669,0.01638635303250469,-0.028619151379241828,0.0021731315253325115,-0.019054575676771646,0.03970956604690548,-0.029240247360028487,-0.14096103486072925,-0.07307740870775734,0.12445655527349486,-0.14151655642976624,-0.03774558435716049,0.009539365251518366,0.07144642553475926,0.06428651825544619,0.01179141975679361,-0.015406251782133158,-0.030621023852844497,-0.05338989487938941,-0.04477112301026239,0.05986781128303577,0.05126913647618691,0.03349123281863909,0.10286045540049644,0.06502644559470995,0.021982336268120944,-0.004652713096594381,0.12567058183886395,-0.053709880139723526,0.055370114760970195,-0.04991383334368944,-0.009339169717818023,0.030322523137041344,-0.0007989636200148841,-0.025187938089188552,-0.015447666788753086,-0.036495294610610914,-0.06467890959678381,0.04613645742762168,-0.0030861141820280164,-0.01893039972624669,0.002688459786693749,-0.04613813460588033
3,sport,-0.10520404798546702,0.08457033764368825,-0.0245771750610952,0.03925496988365957,0.012283816465147522,0.018756259267539953,0.0026450150104032665,0.05962100437408324,0.01397942420291209,-0.04191912026874829,-0.11681435221391759,0.03735935985589968,0.07020273079084627,-0.01732060820818237,0.045165122042704856,-0.10606243583629485,-0.007466929524456838,0.11905292563002003,-0.09414218153565783,-0.061390469920508194,0.41435163482532894,0.43716642766725927,0.1356793685293769,0.20668855903419775,0.11035504018790249,-0.011831549521176201,0.026885648852622138,-0.10924460954599713,0.026313577635867783,0.003711988239054059,-0.027676168629891047,0.017572997083772662,-0.07097392148554507,-0.09065372071416382,0.018421643974991964,-0.03196312579019882,-0.04080870530321525,-0.13613524489642118,-0.010975905768347956,0.05838615176335731,-0.003862077572443024,0.05474293572252217,0.03456461579685292,0.01496070756191233,-0.07765271049584539,-0.0007998800543799996,0.054928196901855374,0.06744670761502608,0.061788518313301476,0.023965791618532163,-0.004255300275166495,0.06663318346949304,-0.03980056036820452,-0.052602520207848204,0.01743013094505566,-0.005444956255697606,0.08163309656454576,0.08955115838967664,0.11841160805758187,-0.013431693604422678,0.013444780392300815,0.039929210371412734,0.08744722664159493,0.032804443490449774,-0.06233484615672256,0.06814474766550731,-0.005517537884591862,-0.026439197996460002,-0.04794034290980594,-0.02038801891572969,0.05395976343396198,-0.042106704579398434,0.055150078240628314,-0.10179941601338115,0.024778040307010318,-0.011999829421586157,0.005289375839100845,0.02166785018719884,-0.0017879419852421296,0.06795737554113618,-0.07043321423676278,0.04262529475568488,-0.06816618163069722,0.014723562393960849,0.10628910145933242,0.05534873051136342,-0.10310976793522134,0.08577115598339607,-0.0042269268412443795,0.03742126174014266,-0.09775724956649982,-0.03888816570750081,-0.028447665221790843,-0.014548754056807136,-0.08009381316977578,-0.03234101427543616,0.01132509862550158,0.017926932996938837,0.05665334853419257,0.018730560214625158
4,sport,-0.07358100785381792,-0.03439656925018739,0.047143991679921816,0.062288611090125914,0.012412964327861802,0.07007844595099545,0.0862669197133217,0.07645509483444647,-0.017248720436725287,-0.005431427458561773,-0.0014943396934365303,-0.02681592161843751,-0.022523370248497758,-0.016022941525252403,-0.01171161863828505,0.015938644113069306,0.0037871226516432203,0.002032610869802402,-0.026327539378005877,0.001368528112871284,0.0247915884033247,0.03956324192080584,0.011638048904887791,0.0678520586581595,-0.0022603898431137566,-0.003097696936964075,-0.009984150419674511,-0.038366926917807215,-0.015847517015304468,-0.07038900045960683,0.06168149992247455,-0.021340226116632225,-0.054309729000087216,0.225739109787262,0.023350262774371418,-0.0661196264429586,0.15206258751246587,0.5010303271419992,-0.00022111941663873722,0.025729133362169452,-0.018533509304386426,-0.20613102523553078,-0.12410715547306031,0.19241749893074553,-0.027480891958312992,-0.14410327815960391,0.015538118932709611,0.02569874402897069,0.06610731655692026,0.029806382899258042,0.047167601813328276,0.015302831580236926,-0.022760228145103173,-0.04165426245101523,0.09500128762833564,-0.08966713873825824,0.041852894879731706,0.009125714456914876,0.11267549320017949,0.03786307600914097,0.014372201431747104,-0.011016788599876341,0.019323682749867496,-0.054496438876967916,0.011096109930291143,-0.04430256140257579,-0.016338862910282654,-0.033119271933908324,-0.08558440356124507,0.035904309801774795,-0.026109608106247476,0.01858539002951977,-0.10381775368353546,-0.035045126632903205,0.014901361994690818,-0.0054989073851358285,0.09178229125449072,-0.04665048542055478,0.09153815375703685,0.026562628360045727,-0.0027602551346483915,0.03799142106039352,0.09427097401178997,0.07157344228774903,-0.06520448509269318,0.04391141198593797,-0.17284444047078182,0.13625407643194268,0.018585024880139044,0.017293664909968483,0.04629855331612015,0.05188953582752632,0.12479932762074786,-0.08819003391542464,0.14047577312516726,-0.07088884328337404,0.020811546142594915,-0.0335500006501676,-0.005388624002165064,0.22029407040437074
5,sport,0.022319748939298608,-0.1531431698901984,-0.11439850545073021,0.09220168265710857,-0.26673510064353245,0.4995847481466917,-0.22571060770144247,-0.21638494905529135,0.4353587981975649,0.2500114092892781,0.010804349734426951,0.22976494239546055,-0.06395049049053728,-0.17906660304502237,0.015219037389161305,-0.01473178043750284,0.06293827039032454,0.02257712404196595,-0.0026416925301675216,-0.045854437259778814,-0.05617119150144128,0.0229853658574207,0.01576887597979052,0.02587654467750593,-0.011379964676014596,-0.04963685065218744,0.0077170447768463105,0.010285240359611965,-0.021110026617953682,0.02034367341659487,-0.015644870513541846,-0.020739359866378457,0.006489530700729125,-0.015511409698552765,0.0003685198249340983,0.016700879572630164,0.03378242848680819,0.006959009645199619,-0.004868926510788323,0.00045611909572759285,-0.004623996504637729,-0.0010210966335726347,0.00876200741205972,0.0015696276271553427,-0.0010919104380404821,0.015360385574906755,-0.01988569354272738,0.00015489997074646174,0.011021097172529132,-0.011088418504387463,-0.008700953788204865,-0.00745451300254365,-0.0014809824424286122,0.0038863935061579785,0.004309224075597089,0.0007510433118608902,0.010699688827147358,0.007127450540901314,-0.010958701138859182,-0.005053419483634734,-0.002968283002010136,-0.0001315336880962418,0.0041219056500111356,-0.01484449016389828,0.0003094623620143012,-0.005724238562910505,0.0001612846710048277,-0.006381575137440118,0.0025122744299196473,-0.01232481850826874,-0.014535588576706596,0.003733497621617968,0.001647654567265061,-0.001520514735579735,-0.017571563111027044,-0.002876438875681564,0.014035277857753188,-0.0043781017902161865,-0.0007109195336584007,-0.0069694520621907665,0.0045178188912482296,-0.0009252159829661469,-0.01299375124690126,0.004809703458046723,0.0004298986543256828,-0.007071091117752722,0.000931968317598066,-0.001489781102306658,-0.004099226671764396,-0.0023169760357037578,0.0007546484506156743,0.0002542990061450464,0.009896608522314205,-0.0003749952122643766,-0.004939127313881449,0.005813756174330503,-0.0034155052179336617,0.0022332463669180874,0.006181634933538201,-0.007191057811645077
6,sport,-0.11161755332396839,-0.19875660355879973,-0.05508629553331694,0.6276459153047474,0.24601073230254444,-0.42100999569567776,-0.18742500100328288,-0.2618915398043793,0.13317017774471365,0.1763230082363681,-0.02747150279723484,-0.08931559845917496,0.012495604440406169,0.08688837131575886,0.11894607447856435,-0.15867598694326623,-0.030660204299453785,0.19474011296094199,-0.024510367712466515,0.009905554408233134,-0.056317591725255946,0.01057878595414138,-0.03512668752126846,-0.0004214432191699064,0.02162511817509266,0.0035657837594088556,0.015128352674310843,-0.025343686032676033,-0.002325487014967019,-0.023920049230311786,0.022750164646722137,0.03324618938078405,-0.003024270741682196,0.019086024085385823,0.0362680786513614,0.0015622569443934432,0.004543425678912852,0.012169582541659073,0.012342244998661614,-0.005783782314797785,-0.03738652699386638,-0.003038969589494847,-0.009813159166580624,-0.019311835589394272,-0.009969637345914792,0.0022418248147759285,-0.0004991779949340375,0.005508043061894535,-0.0015457580800787075,-0.002350866262297539,-0.003417156870776875,-0.009316183649596048,0.0031027948620065394,0.007202533205437866,-0.011468539998253561,-0.014925288578390794,0.002141659021574797,0.0016825694268832628,-0.014536032455652803,0.004281687123378075,-0.0010035693533112689,-0.016196926750509343,-0.01451569848181666,-0.006236769991177347,0.006289345111080268,-0.0033695796974718634,0.0011646316881115605,-0.003136728135014268,-0.0022795296645510177,-0.0031574324740615625,0.014240849153290778,-0.004496768525501621,-0.0018930130169683554,0.0004733764651508636,0.0024549806284404805,0.011037531488377631,0.0047971082742960325,-0.0016468169215579388,-0.006325283980923949,2.951642584408022e-05,-0.003374486373436811,0.001491802448883312,-0.0027035293362240396,0.0002200319066865831,-0.0023524630829216756,-0.001238607152514256,0.002363983982485096,0.004738350598792684,-0.0013646117545283447,0.002656830972499528,0.016838674856029575,-0.0003541881372552894,-0.00859306701449392,-0.005286501063829792,0.0055424972007999595,0.0057584182164654675,0.0014026992964681147,-0.0019024368361825722,-0.0018582038787598092,-0.00668856374518839
7,sport,-0.06696408911958349,0.14907275310746404,-0.26370468838448224,-0.08477753796913974,-0.001045110565841282,0.033032512986302644,-0.027639742007758646,-0.06873826392899733,0.017113926143500068,0.006238588149886677,0.05807777877750239,-0.12824896303835956,-0.09772783824976566,0.057200751311224346,-0.15275108742841367,0.10036002831305571,-0.11958081254208723,0.06658789399611317,-0.05740270351198954,0.108533264722337,0.11078157980865615,-0.014649236158752528,-0.12862468757320322,-0.16112524094984387,-0.21129650112467968,-0.050500837904374096,0.060318346122356856,-0.21001135197309434,0.09196071812987486,-0.09918309793696463,-0.13039982174443177,-0.08837040202392388,0.07219252458306653,-0.09735108401902849,0.048228773894724034,0.010813046485843724,-0.020868712196642523,0.041063343277636194,0.08612554780469132,0.01384501225110172,-0.14293618682678538,0.036625471683527304,0.07923797415830279,-0.008679261744856706,-0.05990382430454776,-0.15180100643958047,-0.01634322464169721,0.06262369625962957,0.006428829206962913,-0.015663429095551008,0.10120167609927627,-0.07864824187874482,-0.04066066630849372,-0.03551227692983049,0.037230208209310695,-0.045422415001492245,0.0396690361724515,0.0018102092485364131,-0.06783583009162067,0.03794482602963481,0.024794487970983083,0.08345234815730267,0.05040195597832851,-0.0099311479059258,-0.04798107534307659,-0.007185356896428112,-0.0029307343196388076,0.00656014874404301,0.018447960199683363,-0.07651070855080529,-0.037992508364488656,0.05349115400700236,0.006665871412769974,-0.032254664470511264,-0.06292431507713019,0.07806212844471472,-0.05240929652443005,-0.0037653990403562205,0.003951990511966904,-0.06986913020468309,-0.026400782009863316,0.03147629961837372,0.011638674695874318,-0.08295892223495749,-0.08670205656096515,-0.02032032125524342,0.00039407337403543364,-0.0007379206643301163,-0.03154468251383527,0.014379795573333227,0.0003095653640826666,-0.011677279262117337,-0.0013911226775583016,0.006340777042743119,0.04128236327375031,0.0017034107132517034,-0.019249547249110755,0.019358008880020535,0.0032763799911492693,-0.06056679053436136
8,sport,-0.1092396043497479,-0.19653947342799608,-0.05195860377483914,0.6172703480457068,0.24407527370571874,-0.42301362687934985,-0.18772947266270548,-0.2666494211291342,0.13476970404873737,0.18032888174361258,-0.028932470123314045,-0.09345275334133325,0.013512966289841631,0.09096865109937166,0.12423355521892514,-0.16573427475753588,-0.033325677506401655,0.20504041800239106,-0.024116963063072826,0.0099614630466239,-0.06088682995359142,0.01107988341354115,-0.0375598428426382,-0.0004137098816507399,0.021570268879891875,0.002440167210232621,0.01632136638922729,-0.02449344926503741,-0.0011887246810260946,-0.026014026582663566,0.026474479610256393,0.03764780013847648,-0.002646299431159436,0.021970866264635576,0.0431218498383449,0.00263076877327842,0.004766554227909854,0.015544449530666351,0.014038341374349866,-0.006303191120538313,-0.04016298754763006,-0.003670815041828939,-0.010894428518219089,-0.021256060806362633,-0.010046800314615767,0.003693934833685094,-0.0014026879851726506,0.007029708141125566,0.00043371274324022875,-0.003274038693779488,-0.006170016700552715,-0.010927702357842472,0.004450865576117762,0.00829095529273872,-0.009574295860243718,-0.015931678832246308,0.0006069536455970408,0.002075462506885703,-0.018393909565561667,0.007292331541907297,-0.0004027391621751788,-0.017964842149755734,-0.016506935963254966,-0.012746653247729693,0.009091397645478276,-0.004226476689277261,0.0008380783961622596,-0.004192542617809987,-0.0033861781279402713,-0.003685503608513112,0.016475934579105504,-0.0055988387361350575,-2.0597627328609845e-05,0.0019447414097584802,0.0022784492238505224,0.015748016194517246,0.005705532759571907,-0.0014265266315868531,-0.008568995974996425,0.0004947104690383912,-0.0049382232138102475,-0.0008705328697611136,-0.0014266172142969953,-0.0011820275595833258,-0.0018306532013347716,-0.0038684622012981357,0.0023156557767314966,0.009090615406541916,-0.00013984533914857314,0.006166853120836259,0.024283921178504374,0.0003031618526858311,-0.010793407063991994,-0.00624926965442888,0.005545694769874028,0.007585978099890981,-0.00038721775291507607,-0.001275120567089174,-0.0007314338587796227,-0.007851560034495896
9,sport,0.028069668886943656,-0.1492810424809021,-0.1123202917533477,0.08633209762028637,-0.27813264457192416,0.4980129346013052,-0.22137842445229186,-0.2286908050273186,0.4381016822947445,0.2649099387438918,0.0045850997060816875,0.2454655655592065,-0.07571008273156388,-0.19754783962578004,0.018870855830354413,-0.01047265037147485,0.07525081539768098,0.03200059671447861,0.00883645114256227,-0.04436412752288373,-0.06512965663085171,0.02937632491555671,0.019196407417052717,0.01694793790100719,-0.005792808164782547,-0.04574458548744209,0.01759204244602092,0.014441755674372154,-0.024578898097465347,0.02156144547089542,-0.005666537960157763,-0.021790582504980914,0.008370679716538732,-0.0035566643749374996,0.004047886833831516,0.02131897392102675,0.03229064421919474,0.006757212472866145,-0.014190259562647302,-0.009064705417984022,-0.011797698953729839,0.005991563178564416,0.018386387236229308,0.005335413411477282,0.0039951590956132125,0.012192555523896642,-0.0044380798205556045,0.025551423817825457,0.023953177163256224,-0.012705016840429606,-0.022327978789039606,-0.02477960647854792,0.0032701080351429596,0.010075691567156516,0.00225188735744165,-0.009043795225499182,-0.00019439108605660388,0.0057305655746338075,-0.022521985608504935,-0.013434203722093486,-0.0010754911009416607,-0.0005611030514310768,0.012264436432154151,-0.002535124919156655,0.004315733789836782,-0.015351987079654158,0.002545840024624759,0.0012584849402752813,-0.001996062480678261,-0.002290771095514511,-0.0030736927564175218,0.007821163659868822,-0.009646361387518813,-0.0015335437496291288,-0.013064454338852083,-0.0043291523458681,0.001205848262936455,-0.000543919483230422,-0.004928048598728364,-0.003023297212932867,0.0024468090172568018,-0.00019746543509248216,-0.007256628386344801,-0.00013511824783535759,0.005147229870681554,-0.003280163229030903,0.007747434183439212,0.007574226872734597,-0.007695598190411844,-0.00247779951807498,-0.004468321186331454,0.0007321041650291321,-6.887008759578408e-05,0.004431567855856356,-0.0009924866232784602,-0.004131657510070072,0.004609154288723823,0.004281953441891787,0.010967200624076795,-0.005063187017947018
